eventid,iyear,imonth,iday,country,country_txt,region_txt,provstate,city,latitude,longitude,location,summary,alternative_txt,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,weaptype1,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill
1.97E+11,1970,4,3,96,Ireland,Western Europe,Dublin,Dublin,53.361675,-6.245485,,,,1,0,Armed Assault,Business,Bank/Commerce,Bank of Ireland,"Richard Fallon, 42, Garda Siochana",Ireland,Saor Eire (Irish Republican Group),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1970,6,26,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,,0,0,Armed Assault,Terrorists/Non-State Militia,Terrorist,,"3 IRA members, 2 civilians",Northern Ireland,Irish Republican Army (IRA),8,Incendiary,,Incendiary,5
1.97E+11,1970,6,27,603,United Kingdom,Western Europe,Northern Ireland,Londonderry,55.011562,-7.312045,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,,"William Kincaid, 28, Daniel Loughins, 32 and Alexander Gould, 18, Prots",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,3
1.97E+11,1970,6,27,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,,"Robert Neill, 38, protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1970,6,27,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,,"James McCurrie, 34, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1970,6,27,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Religious Figures/Institutions,Place of Worship,Catholic enclave,St. Matthew,Northern Ireland,Ulster Volunteer Force (UVF),5,Firearms,Unknown Gun Type,Firearm; Petroleum bomb,3
1.97E+11,1970,8,11,603,United Kingdom,Western Europe,Northern Ireland,Crossmaglen,54.077313,-6.608787,,,,1,0,Bombing/Explosion,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"Samuel Donaldson, 23 and Robert Millar, 26, Protestants",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Vehicle,Booby-trap bomb,2
1.97E+11,1970,9,4,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,0,0,Bombing/Explosion,Terrorists/Non-State Militia,Terrorist,IRA,"Michael Kane, 35, Catholic, IRA member",Northern Ireland,Irish Republican Army (IRA),6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1970,9,30,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,,"David Murray, 49, Protestant",Northern Ireland,Protestant extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1970,11,16,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,alleged criminals,"Arthur McKenna, 35 and Alexander McVicker, 35, Catholics",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1970,12,23,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Armed Assault,Private Citizens & Property,Religion Identified,,"Andrew Jardin, 65, Protestant",Northern Ireland,Irish Republican Extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,1,27,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"John Kavanagh, 28, Catholic",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,2,6,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Robert Curtis, 20",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,2,7,603,United Kingdom,Western Europe,Northern Ireland,Nutt's Corner,54.63797,-6.14485,,,,1,0,Assassination,Private Citizens & Property,Religion Identified,,"Albert Bell, 25, Protestant",Northern Ireland,Irish Republican Extremists,5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,2,9,603,United Kingdom,Western Europe,Northern Ireland,Trillick,54.452223,-7.486124,,,,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,Unspecified,Great Britain,Irish Republican Army (IRA),6,Explosives,Landmine,Land mine,5
1.97E+11,1971,2,15,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"John Laurie, 22",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,2,26,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Police,Police Security Forces/Officers,Royal Ulster Constabulary,"Cecil Patterson, 45 and Robert Buckley, 30, Protestants",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,2
1.97E+11,1971,3,8,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Intra/Inter-group Conflict,1,0,Assassination,Terrorists/Non-State Militia,Terrorist,IRA,"Charles Hughes, 26, Catholic",Northern Ireland,Official Irish Republican Army (OIRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,3,10,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Dougald McCaughey, 23 and Joseph McCraig, 18 (off duty)",Great Britain,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
1.97E+11,1971,5,8,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,shop,"Isabella McKeague, 67, Protestant",Northern Ireland,Protestant extremists,8,Incendiary,,Incendiary,1
1.97E+11,1971,5,22,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Robert Bankier, 25",Great Britain,Official Irish Republican Army (OIRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,5,25,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Bombing/Explosion,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Michael Willets, 27",Great Britain,Irish Republican Army (IRA),6,Explosives,Time Fuse,Bomb - timed,1
1.97E+11,1971,7,12,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"David Walker, 30",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,7,14,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,,British Army,"Richard Barton, 24",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,8,8,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Malcolm Hatton, 21",Great Britain,Irish Republican Army (IRA),5,Firearms,Rifle/Shotgun (non-automatic),Sniper,1
1.97E+11,1971,8,9,603,United Kingdom,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,,,,1,0,Bombing/Explosion,Business,,Mackie's Factory,"William Atwell, 40, Security man, Protestant",Northern Ireland,Irish Republican Extremists,6,Explosives,Unknown Explosive Type,Bomb,1
1.97E+11,1971,8,9,603,United Kingdom,Western Europe,Northern Ireland,Clady,54.794884,-7.537385,,,Insurgency/Guerilla Action,1,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Ulster Defence Regiment,"Winston Donnell, 22, Protestant",Northern Ireland,Irish Republican Army (IRA),5,Firearms,Unknown Gun Type,Firearm,1
